lib,workload,rows,wall_seconds,peak_mem_bytes,peak_rss_bytes,file_bytes
phpspreadsheet,write,10000,2.171,91103232,103858176,596681
openspout,write,10000,0.590,4194304,29118464,543752
fast-excel-writer,write,10000,0.448,4194304,29110272,544519
rap2hpoutre,write,10000,0.653,4194304,29196288,544394
easy-excel,write,10000,0.135,4194304,115286016,587114
phpspreadsheet,write,100000,23.643,665903104,673198080,6021806
openspout,write,100000,5.849,4194304,29122560,5358069
fast-excel-writer,write,100000,4.289,4194304,29134848,5368127
rap2hpoutre,write,100000,6.581,4194304,29102080,5365103
easy-excel,write,100000,1.374,4194304,163512320,5905155
easy-excel-native,write,100000,1.275,4194304,164163584,5905155
phpspreadsheet,write,1000000,FAILED,,,
openspout,write,1000000,60.073,4194304,29192192,53663708
fast-excel-writer,write,1000000,45.734,4194304,29134848,53261901
rap2hpoutre,write,1000000,64.487,4194304,29179904,53737201
easy-excel,write,1000000,11.910,4194304,277528576,58991281
easy-excel-native,write,1000000,11.345,4194304,274874368,58991281
